iter	Passed	Remaining
400	58192	14366
401	58366	14228
402	58519	14085
403	58671	13941
404	58840	13802
405	59003	13660
406	59152	13516
407	59316	13375
408	59471	13232
409	59618	13086
410	59768	12942
411	59929	12800
412	60115	12663
413	60279	12521
414	60435	12378
415	60596	12235
416	60738	12089
417	60899	11946
418	61064	11804
419	61211	11659
420	61352	11512
421	61518	11370
422	61685	11228
423	61850	11086
424	62001	10941
425	62149	10795
426	62297	10650
427	62452	10506
428	62612	10362
429	62762	10217
430	62928	10074
431	63081	9929
432	63228	9783
433	63384	9639
434	63525	9492
435	63676	9346
436	63831	9202
437	63979	9056
438	64139	8912
439	64298	8768
440	64448	8622
441	64612	8478
442	64761	8332
443	64907	8186
444	65075	8043
445	65235	7898
446	65410	7755
447	65560	7609
448	65718	7464
449	65889	7321
450	66046	7175
451	66206	7030
452	66363	6885
453	66519	6739
454	66677	6594
455	66841	6449
456	66988	6303
457	67145	6157
458	67308	6012
459	67458	5865
460	67620	5720
461	67784	5575
462	67938	5429
463	68096	5283
464	68248	5136
465	68392	4990
466	68547	4843
467	68731	4699
468	68900	4554
469	69060	4408
470	69215	4261
471	69380	4115
472	69536	3969
473	69694	3822
474	69847	3676
475	69991	3528
476	70168	3383
477	70327	3236
478	70475	3089
479	70634	2943
480	70797	2796
481	70954	2649
482	71128	2503
483	71287	2356
484	71442	2209
485	71587	2062
486	71738	1914
487	71910	1768
488	72057	1620
489	72205	1473
490	72352	1326
491	72501	1178
492	72660	1031
493	72820	884
494	72980	737
495	73148	589
496	73300	442
497	73466	295
498	73627	147
499	73781	0
