iter	RMSE	Tweedie:variance_power=1.409569430914884
0	772.880554	113.3182457
1	772.5973371	68.19549207
2	772.5138497	65.38187112
3	772.5098667	65.01740573
4	772.5101055	65.00491963
5	772.5074442	64.85256523
6	772.5071914	64.72475901
7	772.5064199	64.66209044
8	772.5044836	64.50408314
9	772.5044282	64.4640866
10	772.5039539	64.42461584
11	772.5034239	64.37817225
12	772.5011324	64.28397571
13	772.501114	64.28213925
14	772.4997911	64.18792664
15	772.4984101	64.13520276
16	772.4978098	64.03933573
17	772.4960943	63.93176578
18	772.4958457	63.91017678
19	772.4950969	63.83694088
20	772.4952053	63.83199334
21	772.4937913	63.76278581
22	772.4930964	63.69675642
23	772.4924924	63.63188847
24	772.4916933	63.55934015
25	772.4918441	63.55449357
26	772.4909156	63.48045817
27	772.4906274	63.44582679
28	772.490658	63.44045466
29	772.4906389	63.43609312
30	772.4888622	63.35507927
31	772.4881473	63.30152928
32	772.4873193	63.23876427
33	772.487188	63.22357362
34	772.4869969	63.19863435
35	772.4870878	63.19510287
36	772.4860978	63.13628763
37	772.485837	63.08406602
38	772.4848821	63.02620032
39	772.4849832	63.02521062
40	772.4847184	62.95516714
41	772.4844634	62.90461509
42	772.4841115	62.86284354
43	772.483795	62.83017424
44	772.4834277	62.79513938
45	772.4831919	62.76237619
46	772.4821595	62.69453678
47	772.4820411	62.66510177
48	772.4817253	62.6258763
49	772.4817881	62.62425306
50	772.4812651	62.57683685
51	772.4801879	62.50551347
52	772.480316	62.50220721
53	772.4802396	62.49351388
54	772.4802048	62.49085494
55	772.4797315	62.45852901
56	772.4797001	62.45673194
57	772.4792679	62.41046255
58	772.4787189	62.35763323
59	772.4784221	62.30196485
60	772.4778294	62.25802432
61	772.4777514	62.22162105
62	772.4770035	62.16383387
63	772.4763733	62.11782098
64	772.4747831	62.06164781
65	772.4747847	62.06090026
66	772.474126	62.01106748
67	772.4735581	61.96798619
68	772.4733708	61.94202783
69	772.4733764	61.93665839
70	772.4733272	61.91806464
71	772.471965	61.86705509
72	772.4715138	61.83139861
73	772.4715285	61.81467319
74	772.4706509	61.76327154
75	772.4699473	61.7096295
76	772.4694366	61.66237007
77	772.4691526	61.61869484
78	772.4685105	61.56878261
79	772.467872	61.50658366
80	772.4678977	61.49247592
81	772.4676355	61.45206639
82	772.4674955	61.42323935
83	772.4670679	61.39021401
84	772.467126	61.38828299
85	772.4670724	61.3842535
86	772.4659806	61.34004279
87	772.465492	61.29551158
88	772.4651374	61.25178806
89	772.4647262	61.22739206
90	772.4647652	61.22654769
91	772.4644933	61.18770201
92	772.4643599	61.15526605
93	772.4639069	61.12520743
94	772.4636888	61.10235601
95	772.4634654	61.07622994
96	772.4635105	61.07395848
97	772.4633721	61.05264109
98	772.4633434	61.05215485
